,0
0,24.719837188720703
1,25.023448944091797
2,24.94980812072754
3,24.642671585083008
4,24.250112533569336
5,23.78106117248535
6,23.277477264404297
7,22.778051376342773
8,22.354345321655273
9,22.0250244140625
10,21.809356689453125
11,21.721567153930664
12,21.76316261291504
13,21.924579620361328
14,22.18767738342285
15,22.52729606628418
16,22.915098190307617
17,23.31850814819336
18,23.703588485717773
19,24.03728485107422
20,24.2894287109375
21,24.43558692932129
22,24.46051597595215
23,24.361339569091797
24,24.14936637878418
25,23.849117279052734
26,23.494579315185547
27,23.1235408782959
28,22.772062301635742
29,22.470808029174805
30,22.24327850341797
31,22.105131149291992
32,22.063831329345703
33,22.118640899658203
34,22.261192321777344
35,22.47664451599121
36,22.745086669921875
37,23.043054580688477
38,23.345014572143555
39,23.625011444091797
40,23.858440399169922
41,24.02408790588379
42,24.106348037719727
43,24.097394943237305
44,23.998750686645508
45,23.821645736694336
46,23.585725784301758
47,23.316259384155273
48,23.04055404663086
49,22.784603118896484
