,0
0,285.5895080566406
1,303.032958984375
2,305.92803955078125
3,298.15008544921875
4,298.8041687011719
5,298.9961853027344
6,286.27789306640625
7,273.099853515625
8,275.62432861328125
9,285.8287048339844
10,292.0509338378906
11,294.9344787597656
12,298.5166015625
13,302.4866638183594
14,301.6983337402344
15,294.6949768066406
16,285.85479736328125
17,279.7672119140625
18,278.82025146484375
19,283.1615295410156
20,289.4430847167969
21,295.4513854980469
22,299.4923095703125
23,301.560546875
24,300.9563293457031
25,296.0345458984375
26,287.5560302734375
27,279.8528137207031
28,278.2544860839844
29,282.9764404296875
30,289.29058837890625
31,294.8523254394531
32,298.79852294921875
33,301.3409729003906
34,301.2227478027344
35,296.5793151855469
36,288.35443115234375
37,280.6666564941406
38,278.4568786621094
39,282.4896240234375
40,288.6368408203125
41,294.3052062988281
42,298.44696044921875
43,301.1189270019531
44,301.28948974609375
45,297.1890563964844
46,289.3065490722656
47,281.3853454589844
48,278.49090576171875
49,281.999267578125
