,0
0,9.342724800109863
1,10.341968536376953
2,11.17626953125
3,11.936749458312988
4,12.659693717956543
5,13.356053352355957
6,13.988984107971191
7,14.520630836486816
8,15.270381927490234
9,16.03058624267578
10,16.813884735107422
11,17.62683868408203
12,18.47342872619629
13,19.35658836364746
14,20.279651641845703
15,21.246417999267578
16,22.25347137451172
17,23.302919387817383
18,24.396364212036133
19,25.535154342651367
20,26.720491409301758
21,27.953468322753906
22,29.235071182250977
23,30.566112518310547
24,31.947412490844727
25,33.379608154296875
26,34.86317443847656
27,36.398372650146484
28,37.985260009765625
29,39.62364196777344
30,41.31307601928711
31,43.05281066894531
32,44.84177780151367
33,46.6785774230957
34,48.561439514160156
35,50.488216400146484
36,52.45637512207031
37,54.46295928955078
38,56.50464630126953
39,58.577667236328125
40,60.67790603637695
41,62.80085372924805
42,64.94168090820312
43,67.09521484375
44,69.25607299804688
45,71.41861724853516
46,73.57711029052734
47,75.72567749023438
48,77.85847473144531
49,79.96968078613281
